"codBus","codLinea","sentido","lon","lat","codParIni","last_update"
"646","15.0","1","-4.4292684","36.72801","556","2022-11-11 17:44:03"
"735","15.0","1","-4.426691","36.7485","1761","2022-11-11 17:44:03"
"736","15.0","2","-4.4438534","36.72171","845","2022-11-11 17:44:03"
"753","15.0","2","-4.4481","36.688442","1551","2022-11-11 17:44:03"
"754","15.0","2","-4.4449353","36.710133","1560","2022-11-11 17:44:03"
"548","17.0","2","-4.427546","36.71786","961","2022-11-11 17:44:03"
"664","17.0","2","-4.4286003","36.72944","1506","2022-11-11 17:44:03"
"546","17.0","1","-4.4294457","36.733368","1708","2022-11-11 17:44:03"
"594","17.0","2","-4.429995","36.740646","1704","2022-11-11 17:44:03"
"598","17.0","1","-4.4262586","36.748116","1764","2022-11-11 17:44:03"
"608","18.0","2","-4.4265294","36.74885","1764","2022-11-11 17:44:03"
"656","18.0","1","-4.4726677","36.71721","833","2022-11-11 17:44:03"
"601","18.0","2","-4.4359307","36.726196","660","2022-11-11 17:44:03"
"577","18.0","1","-4.4217043","36.747776","2655","2022-11-11 17:44:03"
"617","19.0","2","-4.4603686","36.70748","463","2022-11-11 17:44:03"
"695","19.0","2","-4.57609","36.73419","1972","2022-11-11 17:44:03"
"697","19.0","1","-4.4986553","36.70744","1918","2022-11-11 17:44:03"
"647","19.0","1","-4.419989","36.718517","1803","2022-11-11 17:44:03"
"696","19.0","2","-4.4610047","36.707375","1970","2022-11-11 17:44:03"
"651","20.0","2","-4.4553766","36.703964","2464","2022-11-11 17:44:03"
"698","20.0","1","-4.427073","36.715893","253","2022-11-11 17:44:03"
"655","20.0","1","-4.4223857","36.742817","2668","2022-11-11 17:44:03"
"576","20.0","2","-4.4246716","36.73135","2603","2022-11-11 17:44:03"
"580","20.0","2","-4.433914","36.713493","468","2022-11-11 17:44:03"
"597","20.0","2","-4.423308","36.71754","718","2022-11-11 17:44:03"
"620","20.0","2","-4.477842","36.699154","2418","2022-11-11 17:44:03"
"665","20.0","1","-4.4289017","36.713066","307","2022-11-11 17:44:03"
"663","20.0","2","-4.4173408","36.746212","2615","2022-11-11 17:44:03"
"662","20.0","1","-4.4485707","36.70758","2405","2022-11-11 17:44:03"
"633","21.0","1","-4.437649","36.721622","802","2022-11-11 17:44:03"
"518","21.0","1","-4.429141","36.720554","621","2022-11-11 17:44:03"
"653","21.0","2","-4.480996","36.738697","2159","2022-11-11 17:44:03"
"675","21.0","2","-4.4694552","36.731365","2163","2022-11-11 17:44:03"
"654","21.0","2","-4.496917","36.75975","2151","2022-11-11 17:44:03"
"569","21.0","2","-4.4969296","36.759842","2151","2022-11-11 17:44:03"
"585","21.0","1","-4.4718375","36.732372","2103","2022-11-11 17:44:03"
"590","21.0","1","-4.4542937","36.72372","809","2022-11-11 17:44:03"
"614","21.0","2","-4.429605","36.71779","560","2022-11-11 17:44:03"
"623","21.0","2","-4.424087","36.717297","2119","2022-11-11 17:44:03"
"549","22.0","1","-4.4731255","36.71715","2011","2022-11-11 17:44:03"
"540","22.0","2","-4.47489","36.716328","2206","2022-11-11 17:44:03"
"566","22.0","1","-4.4442544","36.70904","1560","2022-11-11 17:44:03"
"742","22.0","2","-4.4525156","36.710167","452","2022-11-11 17:44:03"
"584","23.0","1","-4.5163293","36.72152","2351","2022-11-11 17:44:03"
"571","23.0","2","-4.472559","36.724415","2360","2022-11-11 17:44:03"
"586","23.0","1","-4.433034","36.72156","821","2022-11-11 17:44:03"
"634","23.0","2","-4.432695","36.720184","559","2022-11-11 17:44:03"
"624","23.0","1","-4.507117","36.719376","2311","2022-11-11 17:44:03"
"700","25.0","1","-4.5758796","36.73432","2517","2022-11-11 17:44:03"
"673","25.0","1","-4.4417057","36.716434","1405","2022-11-11 17:44:03"
"674","25.0","2","-4.4519215","36.714283","2567","2022-11-11 17:44:03"
"677","25.0","2","-4.5644073","36.733536","2553","2022-11-11 17:44:03"
"685","25.0","1","-4.571577","36.733128","2517","2022-11-11 17:44:03"
"729","25.0","2","-4.550705","36.731003","2575","2022-11-11 17:44:03"
"734","25.0","2","-4.43054","36.716896","1463","2022-11-11 17:44:03"
"752","25.0","1","-4.5021014","36.71365","2503","2022-11-11 17:44:03"
"514","28.0","1","-4.5500927","36.71337","2804","2022-11-11 17:44:03"
"728","29.0","1","-4.3599353","36.72268","2930","2022-11-11 17:44:03"
"635","30.0","2","-4.4188137","36.74225","3053","2022-11-11 17:44:03"
"525","31.0","1","-4.4572077","36.687096","3115","2022-11-11 17:44:03"
"568","31.0","2","-4.442933","36.701252","357","2022-11-11 17:44:03"
"631","31.0","2","-4.4162226","36.71949","2169","2022-11-11 17:44:03"
"632","31.0","1","-4.4550605","36.71925","1412","2022-11-11 17:44:03"
"625","32.0","2","-4.4001555","36.725685","3259","2022-11-11 17:44:03"
"629","32.0","1","-4.420745","36.7182","1471","2022-11-11 17:44:03"
