,nombreParada,codParada,lat,lon
118,Av. Juan Sebastián Elcano - Las Acacias,1135,36.722355,-4.3697443
119,Av. Juan Sebastián Elcano - Arroyo Jaboneros,1128,36.72231,-4.3669906
120,Av. Juan Sebastián Elcano - Pintor Enrique Florido,1129,36.721996,-4.3649726
121,Av. Juan Sebastián Elcano - Echeverria,1130,36.721184,-4.362197
122,Av. Juan Sebastián Elcano - Iglesia,1131,36.721066,-4.360335
123,Ctra. de Almería - Padre Coloma,1132,36.72052,-4.3560867
124,Ctra. de Olías,1120,36.720474,-4.3531413
125,Ctra. de Olías - Colegio,1121,36.720913,-4.3514147
126,Ctra. de Olías - El Palo,1151,36.721794,-4.348503
127,Ctra. de Olías - Pelusa,1152,36.72101,-4.351482
128,Ctra. de Almería - Chanquete,1153,36.72041,-4.3545985
129,Ctra. de Almería - Edif. Bahía,1154,36.72074,-4.35657
130,Av. Juan Sebastián Elcano - Iglesia,1155,36.72117,-4.3604484
131,Av. Juan Sebastián Elcano - Echeverria,1156,36.7217,-4.3634067
132,Av. Juan Sebastián Elcano - Arroyo Jaboneros,1157,36.722473,-4.367691
133,Av. Juan Sebastián Elcano - Las Acacias,1158,36.72247,-4.3694906
134,Av. Juan Sebastián Elcano - Los Galanes,1159,36.72247,-4.3723936
135,Av. Juan Sebastián Elcano - Pedregalejo,1160,36.722374,-4.376829
136,Av. Juan Sebastián Elcano - Vicente Espinel,1161,36.722122,-4.378956
137,Av. Juan Sebastián Elcano - Cerrado Calderón,1162,36.722008,-4.3824854
138,Av. Pintor J. Sorolla - El Morlaco,1163,36.72247,-4.387556
139,Av. Pintor J. Sorolla - Bellavista,1164,36.723587,-4.3941283
140,Av. Pintor J. Sorolla - Miramar,1165,36.723484,-4.396371
141,Av. Pintor J. Sorolla - El Limonar,1166,36.72288,-4.398424
142,Paseo de Sancha  - Monte Sancha,1167,36.72179,-4.4016066
143,Paseo de Sancha - La Caleta,1168,36.721626,-4.403737
144,Av. Príes - Cementerio Inglés,1169,36.72113,-4.4070935
145,Paseo de Reding - Plaza de Toros,1170,36.721058,-4.4106708
146,Paseo del Parque,302,36.719475,-4.4164677
147,Paseo del Parque - Plaza Marina,303,36.71874,-4.419112
148,Alameda Principal - Norte,370,36.717793,-4.4223237
156,Héroe de Sostoa - Bda. Girón,313,36.702293,-4.442713
157,Av. de Velázquez - Bda. El Torcal,314,36.700245,-4.445392
158,Av. de Velázquez - Vistafranca,315,36.697483,-4.4489284
159,Av. de Velázquez - Bda. La Luz,316,36.696,-4.45078
160,Av. de Velázquez - Bda. Belén,317,36.69366,-4.4537954
161,Av. de los Guindos,318,36.69297,-4.4535556
162,Cmno. del Pato,319,36.69128,-4.450364
163,Av. Gregorio Diego,320,36.6901,-4.451798
164,Paseo del Parque - Plaza del General Torrijos,401,36.72012,-4.4133196
167,Alameda Principal - Norte,425,36.71754,-4.423234
168,Av. de Andalucía,416,36.716938,-4.428832
169,Callejones del Perchel - Mercado,417,36.71498,-4.430447
170,Paseo de los Tilos - Estación de Autobuses,2417,36.71356,-4.433711
171,Paseo de los Tilos - Calatrava,406,36.713028,-4.4377885
172,Paseo de los Tilos - Cruz de Humilladero,407,36.712173,-4.4401
173,Av. Ortega y Gasset - Cruz de Humilladero,408,36.712116,-4.442166
174,Av. Ortega y Gasset - Santa Julia,409,36.711582,-4.4450393
175,Av. Ortega y Gasset - Bda. El Carmen,410,36.711033,-4.448095
176,Av. Ortega y Gasset - La Rosa,477,36.71053,-4.451025
177,Av. Ortega y Gasset - Tiro de Pichón,414,36.71006,-4.453221
178,Av. Ortega y Gasset - Santa Cristina,415,36.709404,-4.4561462
179,Max Estrella - Palacio de Ferias,418,36.708508,-4.4619303
180,Mefistófeles - Cortijo Alto,419,36.710396,-4.4627748
181,Gregorio Prieto - Ciudad de la Justicia,420,36.71352,-4.4627624
182,Gregorio Prieto - Franz Kafka,2207,36.71615,-4.4633465
183,Gregorio Prieto - Pasteur,423,36.71718,-4.4638724
184,Gregorio Prieto - Franz Kafka,476,36.716038,-4.46363
185,Gregorio Prieto - Ciudad de la Justicia,473,36.713665,-4.463148
186,Mefistofeles  - Cortijo Alto,474,36.709892,-4.463113
187,Max Estrella - Cortijo Alto,475,36.708427,-4.462015
188,Av. Ortega y Gasset - Palacio de Ferias,463,36.707386,-4.4602447
189,Av. Ortega y Gasset - Sta. Cristina,464,36.709538,-4.4546146
190,Av. Ortega y Gasset - Tiro de Pichón,452,36.710056,-4.45228
191,Av. Ortega y Gasset - La Rosa,453,36.710346,-4.4507856
192,Av. Ortega y Gasset,454,36.710766,-4.448463
193,Av. Ortega y Gasset - Bda. El Carmen,455,36.71097,-4.447045
194,Av. Ortega y Gasset - Santa Julia,456,36.711506,-4.444248
195,Cruz de Humilladero,457,36.711742,-4.440938
196,La Unión - Sta Marta,458,36.710876,-4.4395385
197,La Unión - Edisson,460,36.711967,-4.4361615
198,Paseo de los Tilos - Plaza de la Solidaridad,468,36.71333,-4.433936
199,Callejones del Perchel - Mercado,469,36.715267,-4.4297657
200,Av. de Andalucía,662,36.716595,-4.4279037
201,Alameda Principal - Sur,470,36.71748,-4.422859
202,Paseo del Parque - Plaza de la Marina,366,36.718605,-4.4187913
203,Córdoba,3602,36.716545,-4.422043
216,Av . de Velázquez - Puerta Blanca,1002,36.692284,-4.4555326
217,Av. de Velázquez - Azucarera,1003,36.682682,-4.467793
218,Av. de Velázquez - Villa Rosa,1005,36.67413,-4.4769626
219,San Julián - Plaza,1008,36.667236,-4.475053
220,Cmno. Loma de San Julián,1009,36.668182,-4.4718256
221,Cmno. Loma de San Julián - Centro Comercial,1037,36.66899,-4.468786
222,M. Curros Enríquez - Ctra. de Guadalmar,1013,36.668545,-4.46423
223,M. Curros Enríquez - Calle Wilkinson,1014,36.66764,-4.46159
224,Castellón de la Plana - Residencia,1015,36.66631,-4.4581714
225,Rogelio Oliva - Hotel Guadalmar,1016,36.664,-4.460632
226,Rogelio Oliva - Calle Wilkinson,1017,36.66552,-4.4633703
227,Rogelio Oliva - Crta. Campo de Golf,1018,36.666786,-4.4661093
228,Ctra. Campo de Golf - Arraijanal,1036,36.659206,-4.472805
229,Ctra. Campo de Golf - Vega de Oro,1019,36.65761,-4.474203
230,Ctra. Campo de Golf - Parador de Turismo,1020,36.65337,-4.4778347
231,Av. Moserrat Caballe - Parque de Ocio,1074,36.65422,-4.480288
232,Av. Monserrat Caballé - Centro Comercial,513,36.65668,-4.4838634
233,Ctra. de Coín - Los Paseros,1022,36.658535,-4.48956
234,Ctra. de Coín - Centro Comercial,1023,36.659645,-4.493402
235,Ctra. de Coín - P. I. El Alamo,1024,36.66069,-4.4989552
236,Ctra. de Coín - Lourdes,1071,36.660336,-4.498854
237,Ctra. de Coín - La Casita de Madera,1072,36.659256,-4.4931545
238,Ctra. de Coín - Los Paseros,1073,36.657974,-4.4891043
239,Av. Monserrat Caballé - Centro Comercial,565,36.656033,-4.4836774
240,Av. Monserrat Caballé - Parque de Ocio,1080,36.653893,-4.480071
241,Ctra. Campo de Golf - Parador de Turismo,1075,36.653793,-4.4774127
242,Ctra. Campo de Golf - Vega de Oro,1076,36.65776,-4.4739122
243,Ctra. Campo de Golf - Arraijanal,1077,36.659008,-4.4719014
244,Dª Clarines - Guadalmar,1011,36.66573,-4.4668007
245,Hespérides - Guadalmar,1012,36.664394,-4.463902
246,Moby Dick - Guadalmar,1051,36.6633,-4.459685
247,Moby Dick - Residencia,1052,36.66606,-4.457215
248,M. Curros Enríquez,1053,36.667694,-4.461335
249,M. Curros Enríquez - Ctra. Guadalmar,1054,36.668373,-4.4633617
250,Cmno. Loma San Julián - Centro Comercial,1078,36.66901,-4.469404
251,Cmno. Loma de San Julián,1055,36.668274,-4.4721065
252,San Julián - Plaza,1056,36.667492,-4.474665
253,Av. de Velázquez - Villa Rosa,1058,36.674282,-4.476362
254,Av. de Velázquez - Canal Sur,1059,36.676453,-4.4749784
255,Av. de Velázquez - La Concha,1061,36.68281,-4.467141
256,Av. de Velázquez - Puerta Blanca,1063,36.691776,-4.455746
268,Av. Antonio Machado - Nuevo Puente del Carmen,462,36.71179,-4.4252462
269,Imperio Argentina - Palacio Deportes,1659,36.683685,-4.457779
270,Imperio Argentina - Marilyn Monroe,1660,36.682396,-4.454475
271,Cmno. de la Térmica - Imperio Argentina,1652,36.68133,-4.450623
272,Cmno. de la Térmica - Central,1653,36.684586,-4.448891
273,Cmno. de la Térmica - San Patricio,1654,36.686516,-4.447855
274,Cmno. de la Térmica - Selene,1552,36.689526,-4.4475307
275,Luis Barahona Soto - Santa Paula,1553,36.69164,-4.446121
276,Luis Barahona Soto - Parque Mediterráneo,1554,36.693546,-4.4444485
277,Av. Sor Teresa Prat - Bda. De las Delicias,1555,36.69599,-4.442348
278,Av. Sor Teresa Prat - Ave María,1556,36.69729,-4.441379
279,Av. Sor Teresa Prat - Tabacalera,1557,36.699497,-4.4398146
287,Alameda Principal - Norte,718,36.71747,-4.42351
288,Hilera - Armengual de la Mota,823,36.71797,-4.428437
289,Armengual de la Mota,621,36.719105,-4.42922
290,Mármoles,602,36.72158,-4.430145
291,Av. de Barcelona,603,36.72234,-4.4316616
292,Plaza de Bailén,604,36.724464,-4.431401
293,Av. Dr. Gálvez Ginachero - Hospital Civil,702,36.72687,-4.429679
294,Av. Arroyo de los Ángeles - Guardia Civil,556,36.72796,-4.4292088
295,Av. Arroyo de los Ángeles - Hospital Materno,703,36.728863,-4.4316993
296,Av. Arroyo de los Ángeles - Blas de Lezo,704,36.73009,-4.434446
297,Av. Arroyo de los Ángeles - Parque Victoria Eugenia,705,36.731636,-4.4365664
298,Ntra. Sra. De los Clarines - Gibraljaire,706,36.731228,-4.438135
299,Ntra. Sra. Clarines - Pza. Monseñor Bocanegra,707,36.73042,-4.4391065
300,Cmno. de Suárez - Cabas Galván,709,36.728333,-4.441146
301,Cmno. de Suárez - Rotonda,608,36.729027,-4.443043
302,Alcalde José Luis Estrada,710,36.730793,-4.4479628
303,Galeno - Carlinda,755,36.730072,-4.4481792
304,Galeno,663,36.729397,-4.4456525
305,Martínez de la Rosa -  Albacete,657,36.728085,-4.443788
306,Barón de Les,756,36.727715,-4.440908
307,Ntra. Sra. Clarines - Pza. Monseñor Bocanegra,758,36.72969,-4.4395967
308,Ntra. Sra. de los Clarines - Gibraljaire,759,36.73116,-4.437957
309,Av. Arroyo de los Ángeles - Parque Victoria Eugenia,760,36.730877,-4.4359436
310,Av. Arroyo de los Ángeles - Blas de Lezo,761,36.729225,-4.4334354
311,Av. Arroyo de los Ángeles - Hospital Materno,762,36.728443,-4.4313183
312,Av. de Barcelona - Hospital Civil,557,36.725735,-4.430997
313,Plaza de Bailén,558,36.72437,-4.4318104
314,Alonso de Palencia,559,36.72061,-4.4327893
315,Hilera,560,36.718384,-4.4309072
317,Alameda Principal - Sur,791,36.71733,-4.423404
318,Av. M. Agustín Heredia,2701,36.71508,-4.4224
319,Av. Manuel Agustín Heredia - CARE,2416,36.712456,-4.4249015
320,Plaza de Toros Vieja,402,36.712418,-4.4273005
322,Héroe de Sostoa - Estación,1606,36.71119,-4.4314065
327,Av. de la Paloma - Bda. Girón,1526,36.70054,-4.4418383
328,Av. Sor Teresa Prat - Tabacalera,1530,36.699337,-4.440255
329,Las Delicias,1521,36.696728,-4.442077
330,Parque Mediterráneo,1522,36.6949,-4.4434834
331,Luis Barahona Soto - Parque del Oeste,1523,36.693565,-4.4446483
332,Santa Paula,1524,36.691223,-4.4466944
333,Cmno. de la Térmica - Selene,1525,36.689537,-4.447721
334,Cmno. de la Térmica - San Patricio,1602,36.687073,-4.4478064
335,Cmno. de la Térmica - Central,1603,36.68468,-4.449017
336,Imperio Argentina - Cmno. de la Térmica,1607,36.68143,-4.451084
337,Marilyn Monroe,1608,36.68177,-4.4542146
338,Alicia De Larrocha,1609,36.68207,-4.4560304
339,Dr. Gutierrez Mata - Almería,1136,36.719265,-4.3517947
350,Pso. Marítimo Pablo Ruiz Picasso - Bellavista,824,36.72246,-4.3969183
351,Paseo del Parque -  Ayuntamiento,163,36.720093,-4.414305
352,Alameda Principal - Norte,888,36.717224,-4.424401
353,Hilera - Armengual de la Mota,623,36.717964,-4.428277
356,Martínez Maldonado - Pelayo,821,36.721535,-4.433007
357,Martínez Maldonado - Eugenio Gross,802,36.721592,-4.436326
358,Martínez Maldonado - Las Chapas,803,36.721592,-4.439004
359,Martínez Maldonado - Arroyo del Cuarto,804,36.72156,-4.441313
360,Av. Carlos Haya - Parque del Norte,805,36.721653,-4.4440618
361,Av. Carlos Haya - Los Remedios,806,36.722126,-4.4465246
362,Av. Carlos Haya - Hospital,807,36.72277,-4.4503837
363,Av. Carlos Haya - Parque Florida,808,36.72312,-4.452561
364,Av. Carlos Haya - Ortega Prados,809,36.72367,-4.454261
365,Av. Carlos Haya - Alcubilla,810,36.724987,-4.4571176
366,Av. Carlos Haya - Teatinos,811,36.726048,-4.460102
367,Navarro Ledesma - Carril del Capitán,819,36.725643,-4.463057
368,Navarro Ledesma - Quinta Alegre,812,36.725346,-4.4652085
369,Navarro Ledesma - Colonia Sta. Inés,813,36.725105,-4.466965
370,Navarro Ledesma - Ciudad Sta. Inés,814,36.724712,-4.470103
371,Navarro Ledesma - La Palma,2304,36.724426,-4.4725437
372,Av. de José Ribera - La Palma,815,36.72161,-4.4723616
373,Av. de José Ribera,816,36.71949,-4.4715014
374,Facultad de Derecho,817,36.717686,-4.4709587
375,Facultad de Medicina,2011,36.717117,-4.473115
376,Hospital Clínico,2251,36.717697,-4.476207
377,Eolo - El Romeral,831,36.720463,-4.4747586
378,Av. Plutarco - Antígona,853,36.721382,-4.476736
379,Av. Plutarco - Parménides,854,36.721653,-4.478842
380,Aristofanes,6252,36.721992,-4.482423
381,Navarro Ledesma - El Cónsul,2358,36.7238,-4.483072
382,Navarro Ledesma - Altamira,2359,36.72433,-4.4792976
383,Navarro Ledesma - Torre Atalaya,2362,36.724113,-4.475584
384,Navarro Ledesma - La Palma,2360,36.724274,-4.4725313
385,Navarro Ledesma - Ciudad Sta. Inés,836,36.72459,-4.4700675
386,Navarro Ledesma - Colonia Sta. Inés,837,36.72501,-4.4669294
387,Navarro Ledesma - Quinta Alegre,838,36.725246,-4.465167
388,Navarro Ledesma - Carril del Capitán,851,36.725452,-4.4626374
389,Av. Carlos Haya - Teatinos,839,36.725613,-4.4595585
390,Av. Carlos Haya - Alfonso X,840,36.724743,-4.45732
391,Av. Carlos Haya - Ortega Prados,841,36.723522,-4.45428
392,Av. Carlos Haya - Parque Florida,842,36.722992,-4.452683
393,Av. Carlos Haya - Hospital,843,36.722466,-4.44937
394,Av. Carlos Haya - Los Remedios,844,36.72206,-4.447096
395,Av. Carlos Haya - Parque del Norte,845,36.72148,-4.443961
396,Martínez Maldonado - Arroyo del Cuarto,846,36.721394,-4.4408727
397,Martínez Maldonado - Las Chapas,847,36.721397,-4.4385395
398,Martínez Maldonado - Eugenio Gross,848,36.721405,-4.4367137
405,Pso. Marítimo Pablo Ruiz Picasso - Bellavista,890,36.7225,-4.3962417
416,Ctra. de Almería - Miramar del Palo,1133,36.720116,-4.352961
417,Leopardi - Centro de Salud,1134,36.71818,-4.3529205
434,Av. de Velazquez - Aeropuerto,1045,36.67073,-4.4789734
435,Av. de Velázquez - Base Aerea,1039,36.66159,-4.484749
439,Julio Balbas,1044,36.662304,-4.498851
440,Maestro Vert - Centro de Salud,1040,36.664825,-4.4990206
441,Maestro Vert,1041,36.665802,-4.501823
442,Teresa Blasco - Mercado,1028,36.66791,-4.5035315
443,Cmno. del Retiro - La Tosca,1029,36.669193,-4.5059805
444,Cmno. del Retiro - Cementerio,1030,36.66918,-4.5090885
445,Eduardo Palanca - Los Jazmines,1031,36.66921,-4.512623
446,Caliza - Calle Jaspe,1032,36.669933,-4.512903
447,Caliza - Las Pedrizas,1033,36.67097,-4.5110955
448,La Carolina - La Noria,1034,36.672344,-4.508946
449,Plaza de Lola Flores,1035,36.67571,-4.5100784
450,Cmno. de la Huertecilla - La Noria,1064,36.67434,-4.5080113
451,Cmno. de la Huertecilla - Paredones,1065,36.671844,-4.5053473
452,Plaza de la Inmaculada,1066,36.66992,-4.503152
453,Monsálvez,1083,36.66727,-4.5002594
454,Enrique Van Dulken - Centro de Salud,1084,36.66501,-4.498811
455,Periodista J.A. Rando,1085,36.662132,-4.49947
459,Av. de Velázquez - Base Aérea,1081,36.66062,-4.4848337
460,Av. de Velázquez - Aeropuerto,1086,36.669147,-4.4795356
498,Ctra. de Coín - Heliomar,1025,36.66142,-4.502779
499,Calle Torremolinos - Heliomar,1026,36.662823,-4.5054708
500,Calle Torremolinos - Av. San Javier,1027,36.665844,-4.5038633
512,Teresa Blasco - Mercado,1067,36.667442,-4.5035996
513,Calle Torremolinos - Av. San Javier,1068,36.66538,-4.504221
514,Calle Torremolinos - Finca La Hacienda,1069,36.663902,-4.505015
515,Ctra. de Coín - Cmno. del Pilar,1070,36.661556,-4.5050044
537,Louis Pasteur,2056,36.71639,-4.4750605
538,Facultad de Ciencias,850,36.716194,-4.473592
539,Facultad de Filosofía y Letras,832,36.716652,-4.470169
540,Louis Pasteur - Manuel Domínguez,472,36.71777,-4.4645534
543,Plaza de Manuel Azaña,2055,36.714672,-4.449508
544,Av. de Andalucía - Centro de Salud,1460,36.71626,-4.441017
545,Av. de Andalucía - Puente de las Américas,1461,36.716652,-4.438692
546,Av. de Andalucía - Jardines Picasso,1462,36.716938,-4.432869
547,Av. de Andalucía - Rotonda,1463,36.716763,-4.4305334
571,Dr. Gutiérrez Mata - Playa Virginia,1119,36.718616,-4.3521776
592,Alameda Principal - Norte,1177,36.717644,-4.422872
593,Av. de Andalucía - Rotonda,2009,36.717056,-4.4307127
594,Av. de Andalucía - Jardines Picasso,1403,36.717247,-4.433363
595,Av. de Andalucía - Puente de las Américas,1404,36.71714,-4.438052
596,Av. de Andalucía - Centro de Salud,1405,36.716503,-4.441182
597,Plaza de Manuel Azaña,2003,36.71506,-4.4492455
600,Louis Pasteur - Manuel Domínguez,421,36.71791,-4.464869
601,Facultad de Derecho,833,36.717545,-4.4698987
603,Paseo de la Farola,1421,36.71476,-4.4142814
604,Paseo Mtmo. Ciudad de Melilla - Paseo de la Farola,1301,36.71534,-4.4131126
605,Pso. Mtmo. Cdad. de Melilla - Pza.  Malagueta,1802,36.71758,-4.4103518
611,Av. de la Aurora - Centro Comercial,1810,36.71628,-4.4314833
612,Av. de la Aurora - Jardines Picasso,1811,36.71633,-4.434013
613,Av. de la Aurora - Puente de las Américas,1416,36.715775,-4.438405
614,Av. de la Aurora - Horacio Lengo,1417,36.715054,-4.440805
615,Virgen de la Estrella - El Fuerte,1812,36.71556,-4.442904
616,Virgen de la Estrella - Centro de Salud,1406,36.71664,-4.4432173
617,Av. Herrera Oria - Virgen de las Flores,1852,36.718708,-4.4437428
618,Av. Herrera Oria - Polideportivo,3111,36.719093,-4.44831
619,Cómpeta,1410,36.719246,-4.450264
620,Cómpeta - Plaza de J. Bergamín,1412,36.7195,-4.453209
621,Av. Jorge Luis Borges - Orson Welles,1814,36.720154,-4.4626107
622,Av Jorge Luis Borges - Carril Las Morillas,1422,36.72033,-4.4665504
623,Av. Jorge Luis Borges - José Ribera,4407,36.720592,-4.471151
625,Av. Plutarco - Parménides,564,36.72136,-4.479225
626,Av. Plutarco - Eolo,4445,36.720898,-4.4754567
627,Av. Jorge Luis Borges - José Ribera,4455,36.720356,-4.471178
628,Av. Jorge Luis Borges - Giordano Bruno,1472,36.720043,-4.4666734
629,Av. Jorge Luis Borges - Gregorio Prieto,4452,36.719845,-4.463143
630,Plaza de Sandro Botticelli,1419,36.719482,-4.460218
631,Cómpeta - Plaza de J. Bergamín,1466,36.71926,-4.453588
632,Cómpeta - C. P. Antonio Machado,1454,36.71909,-4.4512672
633,Av. Herrera Oria - Polideportivo,1455,36.718773,-4.4472814
634,Virgen de la Esperanza - Mercado,1457,36.71719,-4.4460435
635,Virgen de la Esperanza - Av. Andalucía,1853,36.715218,-4.4454904
636,Virgen de la Fuensanta - Mercado,1809,36.71448,-4.4439425
637,Av. de la Aurora - Horacio Lengo,1468,36.7149,-4.440724
638,Av. de la Aurora - Puente de las Américas,1858,36.715652,-4.437974
639,Av. de la Aurora - Jardines de Picasso,1859,36.71612,-4.434444
640,Av. de la Aurora - Centro Comercial,1860,36.716,-4.430889
642,Alameda Principal - Sur,1471,36.717663,-4.422189
645,Paseo de la Farola - Comandancia de Marina,1359,36.717815,-4.4124494
646,Jane Bowles - Bruckner,1761,36.74802,-4.426446
647,Jane Bowles - Borodin,1762,36.74593,-4.4265394
648,Jane Bowles - Von Karajan,1763,36.74373,-4.426661
649,Plaza Herbert Von Karajan,1527,36.74254,-4.426661
